Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-2017-16_52.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            682805300
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-2017-16_52.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-14.136656	860	1	4	'0 0 Z 0 0 Z 0 0 0 0 Z Z 	32.370275	32.370275	0.000000	32.370275	32.370275	0.000000	32.370275	32.370275	32.370275	32.370275	0.000000	0.000000	0.000021	0.000021	0.999957	0.000000	
100000	-18.912344	986	1	4	'0 0 0 0 0 Z 0 0 0 Z Z Z 	6.205862	6.205862	6.205862	6.205862	6.205862	0.000000	6.205862	6.205862	6.205862	0.000000	0.000000	0.000000	0.000001	0.000000	0.999998	0.000000	
150000	-12.740976	75	1	6	'Z 0 Z Z Z Z 0 0 0 0 0 Z 	0.000000	77.429905	0.000000	0.000000	0.000000	0.000000	77.429905	77.429905	77.429905	77.429905	77.429905	0.000000	0.000081	0.000000	0.999919	0.000000	
200000	-13.959032	614	1	5	'Z 0 0 Z Z Z 0 0 0 0 Z 0 	0.000000	32.872551	32.872551	0.000000	0.000000	0.000000	32.872551	32.872551	32.872551	32.872551	0.000000	32.872551	0.000006	0.000000	0.999987	0.000006	
250000	-12.894993	94	1	5	'Z Z Z 0 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	38.356328	38.356328	38.356328	38.356328	38.356328	38.356328	0.000000	0.000000	38.356328	0.000000	0.000027	0.998950	0.001022	
300000	-13.381595	11	1	3	'0 Z Z 0 0 0 0 0 0 Z 0 0 	42.353444	0.000000	0.000000	42.353444	42.353444	42.353444	42.353444	42.353444	42.353444	0.000000	42.353444	42.353444	0.000000	0.000028	0.999284	0.000688	
350000	-16.890784	657	1	5	'0 0 Z 0 Z Z 0 0 0 Z 0 Z 	12.428219	12.428219	0.000000	12.428219	0.000000	0.000000	12.428219	12.428219	12.428219	0.000000	12.428219	0.000000	0.000001	0.000000	0.999999	0.000000	
400000	-14.299114	514	1	4	'0 0 Z 0 0 0 0 0 0 Z Z Z 	28.630158	28.630158	0.000000	28.630158	28.630158	28.630158	28.630158	28.630158	28.630158	0.000000	0.000000	0.000000	0.000017	0.000045	0.999938	0.000000	
450000	-13.600629	522	1	5	'0 Z 0 Z 0 0 0 0 0 Z Z Z 	40.227267	0.000000	40.227267	0.000000	40.227267	40.227267	40.227267	40.227267	40.227267	0.000000	0.000000	0.000000	0.000000	0.000004	0.999996	0.000000	
500000	-14.051460	70	1	3	'0 0 0 0 0 Z 0 0 0 Z 0 Z 	34.843122	34.843122	34.843122	34.843122	34.843122	0.000000	34.843122	34.843122	34.843122	0.000000	34.843122	0.000000	0.000086	0.000018	0.999896	0.000000	
550000	-16.206301	758	1	2	'0 0 0 Z 0 0 0 0 0 Z 0 0 	14.087947	14.087947	14.087947	0.000000	14.087947	14.087947	14.087947	14.087947	14.087947	0.000000	14.087947	14.087947	0.000020	0.000004	0.999266	0.000710	
600000	-13.303688	749	1	5	'Z Z Z 0 Z 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	37.814173	0.000000	37.814173	37.814173	37.814173	37.814173	0.000000	37.814173	37.814173	0.000000	0.000000	0.998107	0.001893	
650000	-14.094158	203	1	5	'Z Z Z 0 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	28.151325	28.151325	28.151325	28.151325	28.151325	28.151325	0.000000	0.000000	28.151325	0.000000	0.000001	0.999981	0.000018	
700000	-16.735282	693	1	3	'Z 0 0 0 Z Z 0 0 0 0 0 0 	0.000000	14.623236	14.623236	14.623236	0.000000	0.000000	14.623236	14.623236	14.623236	14.623236	14.623236	14.623236	0.000045	0.000000	0.999302	0.000653	
750000	-18.630848	279	1	3	'0 Z 0 0 Z 0 0 Z 0 0 0 0 	26.472590	0.000000	26.472590	26.472590	0.000000	26.472590	26.472590	0.000000	26.472590	26.472590	26.472590	26.472590	0.000000	0.000000	0.998994	0.001006	
800000	-16.508729	99	1	2	'0 Z Z 0 0 0 0 0 0 0 0 0 	11.807624	0.000000	0.000000	11.807624	11.807624	11.807624	11.807624	11.807624	11.807624	11.807624	11.807624	11.807624	0.000000	0.000001	0.999962	0.000037	
850000	-15.958214	75	1	5	'0 Z 0 Z Z Z 0 0 0 0 0 Z 	18.951892	0.000000	18.951892	0.000000	0.000000	0.000000	18.951892	18.951892	18.951892	18.951892	18.951892	0.000000	0.000000	0.000000	1.000000	0.000000	
900000	-15.355534	691	1	3	'0 Z 0 0 0 0 0 0 0 0 Z Z 	24.759322	0.000000	24.759322	24.759322	24.759322	24.759322	24.759322	24.759322	24.759322	24.759322	0.000000	0.000000	0.000000	0.000011	0.999989	0.000000	
950000	-13.888393	481	1	4	'0 Z Z 0 Z 0 0 0 0 Z 0 0 	45.576990	0.000000	0.000000	45.576990	0.000000	45.576990	45.576990	45.576990	45.576990	0.000000	45.576990	45.576990	0.000000	0.000000	0.998858	0.001142	
1000000	-16.621687	711	1	3	'Z 0 Z 0 0 0 0 0 0 0 0 Z 	0.000000	13.927895	0.000000	13.927895	13.927895	13.927895	13.927895	13.927895	13.927895	13.927895	13.927895	0.000000	0.000002	0.000003	0.999995	0.000000	
1050000	-13.446576	634	1	6	'Z 0 Z Z 0 0 0 0 0 Z Z Z 	0.000000	34.258468	0.000000	0.000000	34.258468	34.258468	34.258468	34.258468	34.258468	0.000000	0.000000	0.000000	0.000018	0.000027	0.999955	0.000000	
1100000	-14.082465	103	1	7	'Z Z Z Z Z Z 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	36.939903	36.939903	36.939903	0.000000	36.939903	36.939903	0.000000	0.000000	0.998909	0.001091	
1150000	-15.821502	406	1	5	'Z 0 Z Z 0 Z 0 0 0 0 Z 0 	0.000000	13.473402	0.000000	0.000000	13.473402	0.000000	13.473402	13.473402	13.473402	13.473402	0.000000	13.473402	0.000044	0.000044	0.999867	0.000044	
1200000	-13.992951	990	1	6	'Z Z Z 0 Z 0 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	43.711216	0.000000	43.711216	43.711216	43.711216	43.711216	43.711216	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
1250000	-13.798602	613	1	5	'Z Z Z Z 0 0 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	0.000000	37.366366	37.366366	37.366366	37.366366	37.366366	37.366366	0.000000	37.366366	0.000000	0.000024	0.999310	0.000666	
1300000	-13.752991	720	2	3	'1 0 1 1 Z Z 1 1 1 Z 0 1 	39.272554	13.656129	39.272554	39.272554	0.000000	0.000000	39.272554	39.272554	39.272554	0.000000	13.656129	39.272554	0.000002	0.000000	0.999833	0.000166	
1350000	-13.327016	798	1	4	'0 0 Z 0 Z 0 0 0 0 Z 0 Z 	38.267398	38.267398	0.000000	38.267398	0.000000	38.267398	38.267398	38.267398	38.267398	0.000000	38.267398	0.000000	0.000025	0.000000	0.999975	0.000000	
1400000	-14.634384	460	1	3	'0 0 Z Z 0 0 0 0 0 Z 0 0 	27.118098	27.118098	0.000000	0.000000	27.118098	27.118098	27.118098	27.118098	27.118098	0.000000	27.118098	27.118098	0.000006	0.000026	0.997915	0.002053	
1450000	-12.710246	272	1	4	'Z 0 0 Z Z 0 0 0 0 Z 0 0 	0.000000	59.317273	59.317273	0.000000	0.000000	59.317273	59.317273	59.317273	59.317273	0.000000	59.317273	59.317273	0.000085	0.000000	0.999299	0.000616	
1500000	-14.354078	366	1	6	'0 Z Z 0 Z 0 0 0 0 Z Z Z 	35.985527	0.000000	0.000000	35.985527	0.000000	35.985527	35.985527	35.985527	35.985527	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
