terminology,hypotheses,quote,justification,reference,page number
Crow,High polygyny,"""Non-sororal polygyny tends to be associated with kinship terminology of the bifurcate collateral type""","Polygyny spatially separates lineal relatives, meaning women are surrounded by co-wives and not sisters, and children by half-siblings and not parallel cousins, which prevents merging of lineal kinship terms. ","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",146
Crow,Matri-avunculocal residence,"""Crow systems should occur more frequency in societies which are avunculocal ...""","Avunculoval residence means married couples move to live with the husband's mother's brother and are spatially closer to maternal kin, meaning there is more pressure to specifically identify maternal kin, and paternal kin can be grouped together. With specific reference to Crow societies, it is likely that this also aligns with matrilateral cross-cousin marriage. ","Eyde, D. B., & Postal, P. M. (1961). Avunculocal and Incest: The Development of Unilateral Cross-Cousin Marriage and Crow-Omaha Kinship Systems. American Anthropologist, 63(4), 747–771.",759
Crow,Matrilineal,"""The tables show a strong correlation between Omaha terms and patrilineal unilineal descent groups and between Crow terms and matrilineal unilineal descent groups""","A matrilineal descent system imposes a higher social status (social differential) on maternal kin, and therefore the need to distinguish maternal kin over paternal. This allows the grouping of paternal kin. ","Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",140
Crow,Polygyny,"""Non-sororal polygyny tends to be associated with kinship terminology of the bifurcate collateral type""","Polygyny spatially separates lineal relatives, meaning women are surrounded by co-wives and not sisters, and children by half-siblings and not parallel cousins, which prevents merging of lineal kinship terms.","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",144
Crow,Uni-local residence,"""In the presence of patrilocal, matri-local or avunculocal residence, separate terms tend to be applied to relatives of the same generation who are linked to ego through connecting relatives of a different sex.""",A unilocal residence rule brings into proximity a group of relatives linked under one line of decent. This rule acts as a social differential to support bifurcation of cousin terms. ,"Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",148
Eskimo,Absence of CM permitted,"""Prohibition on cousins vary [in Eskimo-types], but as one might expect, are inevitably bilateral""","If all cousins are unmarriagable, there is no social differential and therefore no need to distinguish them ","Fox, R. (1967). Kinship and Marriage: An Anthropological Perspective. Cambridge University Press.",260
Eskimo,Absence of CM preference,"""Prohibition on cousins vary [in Eskimo-types], but as one might expect, are inevitably bilateral""","If all cousins are unmarriagable, there is no social differential and therefore no need to distinguish them ","Fox, R. (1967). Kinship and Marriage: An Anthropological Perspective. Cambridge University Press.",260
Eskimo,Bi-lineal descent,"""…there is a distinct association of Eskimo terms with bilateral [descent] systems""",When terms differentiate between full siblings and cousins when they are socially differentiated (in this case it is proposed to reflect direct patterns of inheritance). ,"Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",129
Eskimo,Monogamy,"""The following variables are dependent upon diverging devolution (transmission of property to both males and females): greater control of women's' marriage (prohibition of premarital sex, endogamy, father's brother's daughter marriage, monogamy, alternative residence) and by extension Eskimo kinship terminology which isolates the sibling group form ""cousins""""","When there is a social focus on the monogamous nuclear family, there is a need to distinguish children and siblings from other closely related nuclear families. ","Goody, J., Irving, B., & Tahany, N. (1970). Causal Inferences Concerning Inheritance and Property. Human Relations, 24, 295–314.",296
Eskimo,Neo-local residence,"""Neolocal residence tends to be associated with kinship terminology of the lineal type.""","Neo-local residence results in the spatial seperation of lineal relatives from all colateral relative, and emphasises the residential group","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",152
Eskimo,Nuclear families,"""In the absence of clans and polygamous and extended families, the isolated nuclear family tends to be associated with kinship terminology of the lineal type.""",The isolation of the nuclear family operates as a social differenetial and favours separate terms for the lineal and colateral kin. ,"Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",157
Hawaiian,Absence of CM permitted,"""Hawaiian [kin] terms … are associated with the prohibition on [cross] cousin marriage""","If all cousins are unmarriagable, there is no social differential and therefore no need to distinguish them ","Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",136
Hawaiian,Absence of CM preference,"""Hawaiian [kin] terms … are associated with the prohibition on [cross] cousin marriage""","If all cousins are unmarriagable, there is no social differential and therefore no need to distinguish them ","Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",136
Hawaiian,Bi-lineal descent,"""Bilateral kindreds tend to be associated with kinship terminology of the generation type""","If there is no social differential between maternal or paternal relatives,  nor is there a pressure to distinguish nuclear family from other kin, then there is no pressure to linguistically distinguish siblings and cousins, or parents, and parent's siblings. ","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",152
Hawaiian,Bi-local extended family,"""The several types of extended family … depend upon the prevailing rule of residence and exert the influences upon kinship nomenclature already set forth  in Theorems 6 and 11""",Extended families increase social participation and interdependence within society and there fore emphasise the effect of bilineal descent. ,"Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",153
Hawaiian,Bi-local residence,"""Bilocal residence tends to be associated with kinship terminology of the generation type""","Bilineal decent brings together some lineal kin, and some colateral kin, some through men and some though women. All these groups combined are then all overridden and individuals are treated equally. ","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",152
Iroquois,Cross CM permitted,"""Iroquois [kin] terms … are associated with preferred cross-cousin marriage""","If cousin marriage is allowed (or preferred) in some but not all cousins, there is a pressure to linguistically distinguish those who are marriagable from those who are not.  ","Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",138
Iroquois,Cross CM preferred,"""Iroquois [kin] terms … are associated with preferred cross-cousin marriage""","If cousin marriage is allowed (or preferred) in some but not all cousins, there is a pressure to linguistically distinguish those who are marriagable from those who are not.  ","Goody, J. (1970). Cousin Terms. Southwestern Journal of Anthropology, 26(2), 125–142.",138
Iroquois,Exogamy & unilineal descent,"""In the presence of exogamous matrilineal or patrilineal lineages, sibs, phratries, or moieties, terms for lineal relatives tend to be extended, within the same sex and generation, to collateral kinsmen who would be affiliated with them under either unilinear rules of descent.""","Kin that are members of the same exogamous unilinear group are socially equalized with colateral kin, and are therefore terms are merged. ","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",162
Iroquois,High polygyny,"""Non-sororal polygyny tends to be associated with kinship terminology of the bifurcate collateral type""","Polygyny spatially separates lineal relatives, meaning women are surrounded by co-wives and not sisters, and children by half-siblings and not parallel cousins, which prevents merging of lineal kinship terms.","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",144
Iroquois,Matri-avunculocal residence,"""Matrilocal and avunculocal residence tend to be associated with kinship terminology of the bifurcate merging type""",Avunculocal residences aligns relatives so that the distinction of collaterality is minimized and there is a tendence to extend kinship terms from lineal to collateral co-residing relatives. ,"Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",149
Iroquois,Polygyny,"""Non-sororal polygyny tends to be associated with kinship terminology of the bifurcate collateral type""","Polygyny spatially separates lineal relatives, meaning women are surrounded by co-wives and not sisters, and children by half-siblings and not parallel cousins, which prevents merging of lineal kinship terms. This results in different terms for parent's opposite sex sibling terms. ","Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",144
Iroquois,Uni-lineal descent,"""The classic but erroneous anthropological view concerning the nature of the 'Iroquois type' of kinship system … is that this kind of system classifies kin by membership in unilineal descent groups""",?,"Lounsbury, F. G. (1964). The structural analysis of kinship semantics. Mouton.",1079
Iroquois,Uni-local residence,"""In the presence of patrilocal, matri-local or avunculocal residence, separate terms tend to be applied to relatives of the same generation who are linked to ego through connecting relatives of a different sex.""",A uni-local residence rule brings into proximity a group of relatives linked under one line of decent. This rule acts as a social differential to support bifurcation of cousin terms. ,"Murdock, G. P. (1949). Social structure (Vol. xvii). Oxford, England: Macmillan.",148
